datetime,station_id,PM2.5,PM10,NOx,O3,CO,HR,NO,NO2,TMP,PB,PP,RS,station_name,state_code,municipio_code,altitude,lat,lon,timezone
2021-09-22,425,11.36842105263158,38.125,0.01765,0.0296666666666666,1.43125,56.625,0.007875,0.0117875,23.62833333333333,718.8166666666666,0.0091666666666666,118.08333333333331,Universidad,0.0,0.0,517.0,25.73,-100.30972222222,"Tiempo del centro, UTC-6 (UTC-5 en verano)"
2021-09-23,425,15.727272727272728,57.083333333333336,0.0216375,0.0346249999999999,1.444583333333333,40.083333333333336,0.0096916666666666,0.0139125,24.896666666666665,715.2958333333332,0.0,171.08333333333334,Universidad,0.0,0.0,517.0,25.73,-100.30972222222,"Tiempo del centro, UTC-6 (UTC-5 en verano)"
2021-09-24,425,13.916666666666666,43.29166666666666,0.0180166666666666,0.03525,1.3995833333333334,55.54166666666666,0.0056375,0.0137916666666666,24.227083333333336,714.1708333333332,0.0,164.16666666666666,Universidad,0.0,0.0,517.0,25.73,-100.30972222222,"Tiempo del centro, UTC-6 (UTC-5 en verano)"
2021-09-25,425,15.291666666666666,46.54166666666666,0.0270541666666666,0.0279583333333333,1.3541666666666667,60.04166666666666,0.0084541666666666,0.0186166666666666,24.755,714.7541666666666,0.0,114.0,Universidad,0.0,0.0,517.0,25.73,-100.30972222222,"Tiempo del centro, UTC-6 (UTC-5 en verano)"
2021-09-26,425,9.208333333333334,31.041666666666668,0.0163541666666666,0.0307916666666666,1.2491666666666668,59.333333333333336,0.0047333333333333,0.011675,25.581666666666667,714.2166666666667,0.0,137.91666666666666,Universidad,0.0,0.0,517.0,25.73,-100.30972222222,"Tiempo del centro, UTC-6 (UTC-5 en verano)"
2021-09-27,425,19.88235294117647,50.47058823529412,0.0317176470588235,0.0280588235294117,1.403529411764706,65.23529411764706,0.0156941176470588,0.0160470588235294,25.411176470588234,712.7529411764706,0.0,105.58333333333331,Universidad,0.0,0.0,517.0,25.73,-100.30972222222,"Tiempo del centro, UTC-6 (UTC-5 en verano)"
2021-09-28,425,28.22222222222222,73.88888888888889,0.0321333333333333,0.0442222222222222,1.5155555555555555,49.888888888888886,0.0052666666666666,0.0269111111111111,29.85777777777778,708.0999999999999,0.0,31.041666666666668,Universidad,0.0,0.0,517.0,25.73,-100.30972222222,"Tiempo del centro, UTC-6 (UTC-5 en verano)"
2021-09-29,425,25.33333333333333,72.33333333333333,0.0362,0.02775,1.53125,64.375,0.01635,0.0198666666666666,27.29833333333333,709.1875,0.0,135.125,Universidad,0.0,0.0,517.0,25.73,-100.30972222222,"Tiempo del centro, UTC-6 (UTC-5 en verano)"
2021-09-30,425,15.347826086956522,43.54166666666666,0.0388958333333333,0.027,1.465833333333333,58.708333333333336,0.0200874999999999,0.0188541666666666,27.12833333333333,710.4416666666666,0.0,143.45833333333334,Universidad,0.0,0.0,517.0,25.73,-100.30972222222,"Tiempo del centro, UTC-6 (UTC-5 en verano)"
2021-10-01,425,15.523809523809524,38.47826086956522,0.0399304347826086,0.0235217391304347,1.5078260869565216,65.78260869565217,0.02,0.0199565217391304,25.75608695652173,712.0652173913044,0.0013043478260869,93.41666666666669,Universidad,0.0,0.0,517.0,25.73,-100.30972222222,"Tiempo del centro, UTC-6 (UTC-5 en verano)"
2021-10-02,425,18.70833333333333,46.4,0.0328333333333333,0.0260833333333333,1.47,67.20833333333333,0.0149375,0.01795,25.58833333333333,713.5791666666668,0.0,111.54166666666669,Universidad,0.0,0.0,517.0,25.73,-100.30972222222,"Tiempo del centro, UTC-6 (UTC-5 en verano)"
2021-10-03,425,12.5,8.0,0.02701875,0.015625,1.411875,67.0,0.0106125,0.01644375,24.76,713.6800000000001,0.0,24.73913043478261,Universidad,0.0,0.0,517.0,25.73,-100.30972222222,"Tiempo del centro, UTC-6 (UTC-5 en verano)"
